sample,h2_concentration,alarm,humidity,pressure_P1_mean,pressure_P1_std,pressure_P1_min,pressure_P1_max,pressure_Trigger_mean,pressure_Trigger_std,pressure_Trigger_min,pressure_Trigger_max,CH1_CH1_mean,CH1_CH1_std,CH1_CH1_min,CH1_CH1_max,CH2_mfr_CH2_mfr_gs_mean,CH2_mfr_CH2_mfr_gs_std,CH2_mfr_CH2_mfr_gs_min,CH2_mfr_CH2_mfr_gs_max,CH3_pressure_CH3_pressure_bar_mean,CH3_pressure_CH3_pressure_bar_std,CH3_pressure_CH3_pressure_bar_min,CH3_pressure_CH3_pressure_bar_max
0,1.586,0,40.4,0.013330001599999999,1.2904893546248264e-05,0.0132933,0.0133687,1.0,0.0,1,1,0.7681363399999999,2.1581980615070155,0.040495,7.248828,-0.024335387500000027,0.29032091352002154,-0.8024062499999998,0.8382187499999999,48.430932375000005,4.821217612314761,29.109687499999996,56.583687499999996
1,1.604,0,40.4,0.0133320842,1.2286784378347309e-05,0.0132881,0.0133713,1.0,0.0,1,1,0.04876136,0.003087986718624288,0.040495,0.057161,1.3094406187499998,1.090371115838118,-0.6461562499999997,3.75488125,29.300463375,2.1276397457836462,23.380562499999993,38.224312499999996
2,1.599,0,40.4,0.013331356200000002,1.280120000468703e-05,0.0132881,0.0133635,1.0,0.0,1,1,0.048653021000000005,0.0030511835933878183,0.040495,0.057161,4.0980083375,0.5074965686754552,2.66113125,5.23925625,29.683275875,2.045908015026011,23.250312499999996,36.010749999999994
3,1.596,0,40.4,0.0133190465,2.0461891597552772e-05,0.0132621,0.0133635,1.0,0.0,1,1,0.048790496,0.0032084115452952725,0.040495,0.057161,4.766602068749998,0.29754293719860825,4.093425000000001,5.52571875,29.9449941875,2.0188791197565226,24.552437499999996,37.57325
4,2.732,0,40.3,0.0133302317,1.2891367852559312e-05,0.0132959,0.0133752,1.0,0.0,1,1,0.048632171,0.003128603873576679,0.040495,0.055078,4.847852143749998,0.2876409272834627,4.14550625,5.5778,29.949161249999996,2.024809079593216,24.291999999999994,37.8336875
5,3.768,0,40.3,0.013324952400000001,1.033339703292193e-05,0.0132998,0.0133648,1.0,0.0,1,1,0.048665515,0.0031207976348643627,0.040495,0.057161,4.82467509375,0.2949149236997197,4.06738125,5.603843749999999,29.9921308125,2.064281704119452,24.031562500000007,38.3545
6,3.5,0,40.3,0.0133254737,1.5459727627290186e-05,0.0132907,0.0133648,1.0,0.0,1,1,0.048821754,0.0030879996161729036,0.042578,0.057161,4.82092501875,0.2774139169070481,4.119468749999999,5.55175625,29.9659583125,2.0033394072247215,24.812812500000003,36.010749999999994
7,3.71,0,40.3,0.0133274393,1.3136233307535278e-05,0.0132946,0.0133622,1.0,0.0,1,1,0.048688442000000005,0.0031309350367958767,0.040495,0.057161,4.794805193749999,0.28503247509840046,4.093425000000001,5.499675,29.921557812499994,2.0448171444259224,24.031562500000007,35.8805625
8,3.455,0,40.2,0.013339827000000002,1.1078097806031496e-05,0.0132998,0.0133687,1.0,0.0,1,1,0.04874467300000001,0.0031488143317876015,0.040495,0.057161,4.795117737499999,0.2940240992803935,4.0153,5.62988125,29.8214271875,2.0672261366058406,24.031562500000007,36.79200000000001
9,3.615,0,40.2,0.013335448599999999,1.2550213465913601e-05,0.0132998,0.0133713,1.0,0.0,1,1,0.048427997,0.003114672118376347,0.040495,0.057161,4.782721893749999,0.27901433860178276,4.06738125,5.499675,29.809318375000004,2.0330931007634,24.552437499999996,36.271187499999996
